,p,length,size
76,0.0,1.0,0.0004000000000000001
75,0.0025,1.0,0.0004000000000000001
74,0.005,1.005,0.0004020000000000001
73,0.0075,1.035,0.0004140000000000001
72,0.01,1.035,0.0004140000000000001
71,0.0125,1.03,0.00041200000000000015
70,0.015,1.045,0.00042000000000000007
69,0.0175,1.085,0.0004340000000000001
68,0.02,1.155,0.0004620000000000001
67,0.0225,1.135,0.00045800000000000013
66,0.025,1.115,0.0004520000000000001
65,0.0275,1.075,0.0004300000000000001
64,0.03,1.12,0.0004520000000000001
63,0.0325,1.19,0.0004840000000000001
62,0.035,1.155,0.00047000000000000015
61,0.0375,1.16,0.00047200000000000014
60,0.04,1.145,0.0004680000000000001
59,0.0425,1.18,0.0004760000000000001
58,0.045,1.255,0.0005120000000000001
57,0.0475,1.225,0.0005120000000000001
56,0.05,1.295,0.0005420000000000002
55,0.0525,1.215,0.0005000000000000001
54,0.055,1.27,0.000524
53,0.0575,1.24,0.0005160000000000001
52,0.06,1.265,0.0005260000000000001
51,0.0625,1.305,0.0005320000000000001
50,0.065,1.475,0.0006520000000000001
49,0.0675,1.355,0.0005840000000000001
48,0.07,1.645,0.000858
47,0.0725,1.33,0.0005780000000000001
46,0.075,1.535,0.0007040000000000001
45,0.0775,1.495,0.000666
44,0.08,2.69,0.005635999999999999
43,0.0825,3.795,0.010743999999999998
42,0.085,2.93,0.005781999999999998
41,0.0875,2.855,0.005542
40,0.09,4.87,0.015698
39,0.0925,4.4,0.015581999999999995
38,0.095,5.275,0.015451999999999995
37,0.0975,2.77,0.005886
36,0.1,4.73,0.0157
35,0.125,15.25,0.07568599999999998
34,0.15,24.485,0.154758
33,0.175,40.08,0.30989399999999995
32,0.2,34.46,0.29013
31,0.225,52.275,0.494754
30,0.25,42.725,0.444978
29,0.275,56.325,0.61464
28,0.3,54.065,0.659762
27,0.325,52.865,0.6897880000000001
26,0.35,59.005,0.77982
25,0.375,53.61,0.7796880000000002
24,0.4,54.35,0.8147819999999999
23,0.425,56.455,0.8498359999999999
22,0.45,49.575,0.8299160000000001
21,0.475,52.135,0.9199
20,0.5,57.685,0.959886
19,0.525,53.905,0.9649280000000001
18,0.55,54.355,0.969904
17,0.575,52.145,0.954928
16,0.6,50.94,0.95494
15,0.625,51.55,0.98492
14,0.65,49.89,0.964962
13,0.675,48.88,0.994966
12,0.7,50.09,0.9899819999999999
11,0.725,49.875,0.989962
10,0.75,50.62,0.9949860000000001
9,0.775,49.94,0.9999800000000001
8,0.8,51.585,0.9999860000000002
7,0.825,48.615,0.989994
6,0.85,47.775,0.9949840000000001
5,0.875,51.075,0.999996
4,0.9,48.795,0.999996
3,0.925,49.645,0.9999979999999999
2,0.95,46.785,1.0
1,0.975,47.395,0.9999979999999999
0,1.0,49.885,1.0
